RespondentID,CollectorID,StartDate,EndDate,What is your age?,What is your gender?,In what type of organisation are you employed?,other organisation type,Approximately how many individuals does your organization employ at all locations?,What is your position in the organisation's hierarchy,"organisation-role:marketing
",organisation-role: sales,organisation-role: finance,organisation-role: production,organisation-role: R&D,organisation-role: IT,organisation-role: Support,organisation-role: other,What is your organisation's industry?,"Other industry of organisation
",What is your highest degree?,other degree,Type of Studies : Science or mathematics,"
",Type of Studies : ICT,Type of Studies : Commerce,Type of Studies : Social sciences,Type of Studies : Law,Type of Studies : Other,How many years have you worked in Data Science or related field?,"Rating 1-5: Algorithms (ex: computational complexity, CS theory)",Rating 1-5: Back-End Programming (ex: JAVA/Rails/Objective C),"Rating 1-5: Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)","Rating 1-5: Big and Distributed Data (ex: Hadoop, Map/Reduce)","Rating 1-5: Business (ex: management, business development, budgeting)","Rating 1-5: Classical Statistics (ex: general linear model, ANOVA)","Rating 1-5: Data Manipulation (ex: regexes, Python, R, SAS, web scraping)","Rating 1-5: Front-End Programming (ex: java script, HTML, CSS)","Rating 1-5: Graphical Models (ex: social networks, Bayes networks)","Rating 1-5: Machine Learning (ex: decision trees, neural nets, SVM, clustering)","Rating 1-5: Math (ex: linear algebra, real analysis, calculus)","Rating 1-5: Optimization (ex: linear, integer, convex, global)","Rating 1-5: Product Development (ex: design, project management)","Rating 1-5: Science (ex: experimental design, technical writing/publishing)","Rating 1-5: Simulation (ex: discrete, agent-based, continuous)","Rating 1-5: Spatial Statistics (ex: geographic covariates, GIS)","Rating 1-5: Structured Data (ex: RDBMS, SQL, JSON, XML, ETL)",Rating 1-5: Surveys and Marketing (ex: multinomial modeling),"Rating 1-5: Systems Administration (ex: *nix, DBA, cloud tech.)","Rating 1-5: Temporal Statistics (ex: forecasting, time-series analysis)","Rating 1-5: Unstructured Data (ex: noSQL, text mining)","Rating 1-5: Visualization (ex: statistical graphics, mapping, web-based data‐viz)",Which important skill did we leave out?,Data scientist type: developer,Data scientist type: Engineer,Data scientist type: Researcher,Data scientist type: Scientist,Data scientist type: Statistician,Data scientist type: Jack-of-all-trades,Data scientist type: Artist,Data scientist type: Hacker,Data scientist type: Leader,Data scientist type: Business person,Data scientist type: Entrepreneur,Data scientist type: Other,Motivation: I've never attended one of those meetings,"Motivation: Socialising, interacting with like-minded people","Motivation:Networking, business to business","Motivation: Networking, meeting potential employers","Motivation: Networking, meeting potential employees",Motivation: Learn about new developments in Data Science,Motivation: Hear what's happening on the Belgian Data Science scene,"Motivation: Contributing (e.g., presenting, taking actively part to discussions)",Motivation: Other,"Do you have suggestions to improve the meetings, or suggestions for potential speakers?"
3836924379,65397871,3/17/2015 20:24:41,3/17/2015 20:40:02,35 to 44,Male,Independent,,1,Middle level/executive,,,,,R&D,,,,IT and technology,,Master,,Science or mathematics,,ICT,,,,,3,5,5,3,5,2,3,2,5,4,4,5,4,2,4,3,3,5,1,4,2,4,4,,"Yes, but not completely","Yes, definitely","Yes, but not completely","Yes, but not completely",Maybe a bit,Maybe,Maybe a bit,Maybe,"Yes, but not completely",Not at all,Maybe,,,"Socialising, interacting with like-minded people",,"Networking, meeting potential employers",,Learn about new developments in Data Science,,"Contributing (e.g., presenting, taking actively part to discussions)",,
3836846011,65397871,3/17/2015 19:53:53,3/17/2015 20:03:50,25 to 34,Male,Consulting,,400.000+,No management responsibilities,,,,,,IT,,,IT and technology,,Master,,,,,,,,Business Engineering,0,1,2,1,1,3,2,3,1,1,1,3,2,1,1,1,2,1,3,1,1,1,1,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,I've never attended one of those meetings,,,,,,,,,
3836831036,65397871,3/17/2015 19:48:40,3/17/2015 20:17:39,18 to 24,Male,Business or NGO,,25,No management responsibilities,,,,,R&D,IT,,,Financial services,,Master,,Science or mathematics,,ICT,,,,,0,4,4,2,3,2,3,4,2,4,3,3,3,4,3,1,5,1,1,3,3,4,2,"Search engines, Databases","Yes, but not completely",Maybe,"Yes, but not completely",Maybe,Maybe,Maybe,Maybe a bit,Maybe,Maybe,Maybe a bit,Maybe,,,,,,,Learn about new developments in Data Science,,,,
3836727651,65397871,3/17/2015 19:11:38,3/17/2015 19:20:26,25 to 34,Male,Independent,,3,Top level/administrative,Marketing,Sales,,Production,,IT,Support,,IT and technology,,Master after Master,,,Engineering,,Commerce,,,,1,2,3,2,2,4,2,3,4,3,2,2,2,4,1,1,1,4,3,2,3,3,4,,"Yes, but not completely",Maybe,Not at all,Maybe a bit,Maybe a bit,"Yes, definitely","Yes, but not completely",Maybe,Maybe,"Yes, but not completely","Yes, definitely",,,"Socialising, interacting with like-minded people","Networking, business to business",,"Networking, meeting potential employees",Learn about new developments in Data Science,,,,
3836513059,65397871,3/17/2015 17:56:30,3/17/2015 18:03:52,25 to 34,Male,Consulting,,100,No management responsibilities,,,,,,IT,,,Other (please specify),consultancy in various industries,PhD,,Science or mathematics,Engineering,ICT,,,,,5,4,2,4,3,2,3,4,3,2,4,3,2,2,4,3,1,3,2,1,1,2,2,,"Yes, but not completely","Yes, but not completely","Yes, but not completely","Yes, but not completely",Maybe,"Yes, but not completely",Maybe,Maybe a bit,Maybe a bit,Maybe a bit,"Yes, but not completely",,I've never attended one of those meetings,"Socialising, interacting with like-minded people","Networking, business to business",,,,Hear what's happening on the Belgian Data Science scene,,,
3836509308,65397871,3/17/2015 17:54:59,3/17/2015 17:55:24,25 to 34,Male,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3836449212,65397871,3/17/2015 17:32:38,3/17/2015 17:47:02,45 to 54,Male,Consulting,,2000,No management responsibilities,,Sales,,,,,,,IT and technology,,Master,,,,,Commerce,,,,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I'm just a sales guy ;-),Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Yes, definitely",Not at all,See previous,I've never attended one of those meetings,,"Networking, business to business",,,,Hear what's happening on the Belgian Data Science scene,,,N/A
3836352665,65397871,3/17/2015 16:58:23,3/17/2015 17:06:03,25 to 34,Male,Consulting,,2000,Lower level/supervisory/operative/first-line manager,Marketing,Sales,Finance,,,IT,,,IT and technology,,Master,,Science or mathematics,,,,,,,1,2,1,2,2,1,3,4,1,1,2,5,4,1,5,4,2,2,2,2,3,1,3,,Maybe,"Yes, but not completely","Yes, but not completely","Yes, definitely","Yes, but not completely",Maybe,Maybe a bit,"Yes, but not completely","Yes, but not completely","Yes, but not completely","Yes, but not completely",,I've never attended one of those meetings,,,,,,,,,
3836304927,65397871,3/17/2015 16:40:55,3/17/2015 16:50:42,25 to 34,Male,Academia,,9000,Lower level/supervisory/operative/first-line manager,Marketing,,,,R&D,IT,,,Education,,PhD,,,Engineering,ICT,,,,,6,5,2,3,2,4,4,4,2,3,5,4,5,3,5,4,2,2,2,2,5,4,2,,Maybe,"Yes, definitely","Yes, definitely","Yes, definitely",Maybe a bit,"Yes, but not completely",Maybe a bit,"Yes, but not completely","Yes, but not completely","Yes, but not completely","Yes, definitely",,,,,,,,,"Contributing (e.g., presenting, taking actively part to discussions)",,
3836082511,65397871,3/17/2015 15:26:58,3/17/2015 15:33:06,35 to 44,Male,Consulting,,2000,No management responsibilities,,Sales,,,,,,,IT and technology,,Master,,Science or mathematics,,,Commerce,,,,10,1,1,1,2,3,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Yes, but not completely",Not at all,,,,"Networking, business to business",,,Learn about new developments in Data Science,,,,
